Date,Open,High,Low,Close,Volume
2024-06-19,8870.705283149171,8870.705283149171,8678.90625,8678.90625,100051000
2024-06-20,8774.805630387931,9038.529296875,8726.855872844828,9038.529296875,81474800
2024-06-21,9086.479120890299,9278.27815246582,9014.554484049479,9206.353515625,166841200
2024-06-24,9206.353515625,9350.20278930664,9182.37863667806,9206.353515625,79592300
2024-06-25,9206.353515625,9206.353515625,9062.50424194336,9206.353515625,80029000
2024-06-26,9134.428001644737,9254.30238486842,9062.503371710527,9110.453125,77913200
2024-06-27,9182.3780073117,9350.2021484375,9158.403130008013,9350.2021484375,89150700
2024-06-28,9398.151979691436,9565.976122185926,9374.177102192223,9518.0263671875,166172300
2024-07-01,9446.102269580695,9494.052027294303,9422.127390723892,9470.0771484375,68634600
2024-07-02,9589.951270517677,9589.951270517677,9446.102001459913,9494.0517578125,78848500
2024-07-03,9565.976293945312,9589.951171875,9518.026538085936,9589.951171875,55860200
2024-07-04,9565.976219584923,9589.951097328245,9422.126953125,9422.126953125,67054000
2024-07-05,9518.026099736966,9565.975853388034,9470.076346085898,9542.0009765625,36946900
2024-07-08,9589.951609141792,9637.9013671875,9542.001851096082,9637.9013671875,72903600
2024-07-09,9685.850854916253,9733.80061162376,9661.8759765625,9661.8759765625,61853200
2024-07-10,9757.775219001393,9805.72497437732,9637.900830561572,9685.8505859375,62325900
2024-07-11,9589.95134150124,9709.825733270007,9589.95134150124,9661.8759765625,55908400
2024-07-12,9637.901098208747,9685.850854916253,9613.926219854993,9661.8759765625,62646500
2024-07-15,9637.9013671875,9661.876246210355,9542.001851096082,9637.9013671875,36682600
2024-07-16,9565.975853388034,9613.925607039102,9542.0009765625,9542.0009765625,37192700
2024-07-17,9494.05087093431,9542.000622807716,9398.1513671875,9398.1513671875,90666000
2024-07-18,9398.15205368193,9685.8505859375,9398.15205368193,9685.8505859375,65383200
2024-07-19,9637.899594907407,9709.82421875,9565.974971064814,9709.82421875,53880300
2024-07-22,9709.825463625464,9733.800341313428,9685.8505859375,9685.8505859375,31285300
2024-07-23,9781.750268734644,9781.750268734644,9709.825634405714,9757.775390625,39321100
2024-07-24,9709.825733270007,9757.775489977512,9661.8759765625,9661.8759765625,24658000
2024-07-25,9805.724782406705,9877.6494140625,9781.749905188106,9877.6494140625,98088100
2024-07-26,9949.57475786925,9973.549636803873,9877.650121065375,9901.625,75565800
2024-07-29,9973.548475609756,9997.523351753049,9757.774590320123,9829.69921875,69092500
2024-07-30,9877.649781173219,9877.649781173219,9757.775390625,9757.775390625,32122900
2024-07-31,9925.599438298357,9925.599438298357,9805.725048946928,9853.6748046875,82519900
2024-08-01,9781.750075301205,9949.57421875,9781.750075301205,9949.57421875,61176200
2024-08-02,9853.67463235294,9925.599264705883,9781.75,9781.75,55699900
2024-08-05,9589.95154272152,9733.800815862342,9470.0771484375,9470.0771484375,126328300
2024-08-06,9661.875805664062,9661.875805664062,9542.001416015624,9589.951171875,78473900
2024-08-07,9589.951075185643,9685.8505859375,9589.951075185643,9685.8505859375,52327400
2024-08-08,9733.800948387836,9805.7255859375,9661.876310838172,9805.7255859375,54162100
2024-08-09,9805.724433786176,9829.699310152402,9685.850051955049,9733.7998046875,47062400
2024-08-12,9685.850490196079,9781.75,9661.875612745098,9781.75,40364100
2024-08-13,9829.699659625303,9877.6494140625,9757.775027969508,9877.6494140625,55207100
2024-08-14,9877.649509803921,9877.649509803921,9781.75,9781.75,47999100
2024-08-15,9781.75070675428,9877.650223487164,9757.775827571057,9805.7255859375,33396600
2024-08-16,9877.650121065375,9901.625,9829.700363196125,9901.625,40731400
2024-08-19,9901.624463478916,9997.523974021084,9853.674708207831,9949.57421875,51054400
2024-08-20,9901.623932104316,10021.49831384892,9877.649055755395,9997.5234375,60304400
2024-08-21,10069.448066546762,10069.448066546762,9997.5234375,9997.5234375,84848800
2024-08-22,9925.599878934625,9973.549636803873,9805.7254842615,9901.625,56611600
